Title,Author,Publication Year,Abstract Note
Power Poseur,"Joseph Cesario, David J. Johnson",2018,"Strong claims have been made that power poses can significantly improve one’s life. Starting from an evolutionary perspective, we reason that expansive poses will have no impact in more realistic situations, as in the presence of an interaction partner or when participants are aware of what the pose should accomplish. Across four dyadic studies including both commonly used outcomes and a negotiation task (which could actually have direct benefits for one’s life), we find nearly uniform null effects of holding expansive poses, despite checks confirming the success of the manipulation. For example, in two of the studies, participants watched a popular TED talk on power poses, held an expansive pose, and then completed a negotiation in the presence of a partner, as might happen in real life. We argue that researchers should stop recommending power poses as an empirically supported strategy for improving one’s life."
Power Posing,"D. Carney, Amy J. C. Cuddy, Andy J. Yap",2010,"Humans and other animals express power through open, expansive postures, and they express powerlessness through closed, contractive postures. But can these postures actually cause power? The results of this study confirmed our prediction that posing in high-power nonverbal displays (as opposed to low-power nonverbal displays) would cause neuroendocrine and behavioral changes for both male and female participants: High-power posers experienced elevations in testosterone, decreases in cortisol, and increased feelings of power and tolerance for risk; low-power posers exhibited the opposite pattern. In short, posing in displays of power caused advantaged and adaptive psychological, physiological, and behavioral changes, and these findings suggest that embodiment extends beyond mere thinking and feeling, to physiology and subsequent behavioral choices. That a person can, by assuming two simple 1-min poses, embody power and instantly become more powerful has real-world, actionable implications."
Power Posing: Brief Nonverbal Displays Affect Neuroendocrine Levels and Risk Tolerance,"D. Carney, Amy J. C. Cuddy, Andy J. Yap",2010,"Humans and other animals express power through open, expansive postures, and they express powerlessness through closed, contractive postures. But can these postures actually cause power? The results of this study confirmed our prediction that posing in high-power nonverbal displays (as opposed to low-power nonverbal displays) would cause neuroendocrine and behavioral changes for both male and female participants: High-power posers experienced elevations in testosterone, decreases in cortisol, and increased feelings of power and tolerance for risk; low-power posers exhibited the opposite pattern. In short, posing in displays of power caused advantaged and adaptive psychological, physiological, and behavioral changes, and these findings suggest that embodiment extends beyond mere thinking and feeling, to physiology and subsequent behavioral choices. That a person can, by assuming two simple 1-min poses, embody power and instantly become more powerful has real-world, actionable implications."
Power Posing for Increased Participation,S. Schipper,2018,"Power posing�assuming an expansive posture, such as hands
on the hips and legs spread apart�has been shown to increase
feelings of power, confidence, and willingness to take risks. Is
it possible that two minutes of power posing in the universi-
ty classroom could give students the confidence necessary to
volunteer answers in a whole-class discussion? The results of
this study support the researcher�s prediction that assuming
a powerful posture for two minutes in the classroom leads to
increased voluntary participation in whole-class discussions.
These results could have meaningful implications for teachers
struggling with low participation rates in their classrooms."
Power Posing: <i>P-</i>Curving the Evidence,"Joseph P. Simmons, Uri Simonsohn",2017,"In a well-known article, Carney, Cuddy, and Yap (2010) documented the benefits of “power posing”. In their study, participants (N=42) who were randomly assigned to briefly adopt expansive, powerful postures sought more risk, had higher testosterone levels, and had lower cortisol levels than those assigned to adopt contractive, powerless postures. In their response to a failed replication by Ranehill et al. (2015), Carney, Cuddy, and Yap (2015) reviewed 33 successful studies investigating the effects of expansive vs. contractive posing, focusing on differences between these studies and the failed replication, to identify possible moderators that future studies could explore. But before spending valuable resources on that, it is useful to establish whether the literature that Carney et al. (2015) cited actually suggests that power posing is effective. In this paper we rely on p-curve analysis to answer the following question: Does the literature reviewed by Carney et al. (2015) suggest the existence of an effect once we account for selective reporting? We conclude not. The distribution of p-values from those 33 studies is indistinguishable from what is expected if (1) the average effect size were zero, and (2) selective reporting (of studies and/or analyses) were solely responsible for the significant effects that are published. Although more highly powered future research may find replicable evidence for the purported benefits of power posing (or unexpected detriments), the existing evidence is too weak to justify a search for moderators or to advocate for people to engage in power posing to better their lives."
"Power-Posing Robots: The Influence of a Humanoid Robot’s Posture and Size on its Perceived Dominance, Competence, Eeriness, and Threat","Jan-Philipp Stein, Paula Cimander, Markus Appel",2022,"When interacting with sophisticated digital technologies, people often fall back on the same interaction scripts they apply to the communication with other humans—especially if the technology in question provides strong anthropomorphic cues (e.g., a human-like embodiment). Accordingly, research indicates that observers tend to interpret the body language of social robots in the same way as they would with another human being. Backed by initial evidence, we assumed that a humanoid robot will be considered as more dominant and competent, but also as more eerie and threatening once it strikes a so-called power pose . Moreover, we pursued the research question whether these effects might be accentuated by the robot’s body size. To this end, the current study presented 204 participants with pictures of the robot NAO in different poses (expansive vs. constrictive), while also manipulating its height (child-sized vs. adult-sized). Our results show that NAO’s posture indeed exerted strong effects on perceptions of dominance and competence. Conversely, participants’ threat and eeriness ratings remained statistically independent of the robot’s depicted body language. Further, we found that the machine’s size did not affect any of the measured interpersonal perceptions in a notable way. The study findings are discussed considering limitations and future research directions."
Power posture effects on approach and avoidance decisions in response to social threat,"Hannah Metzler, Emma Vilarem, Augusto Petschen, Julie Grèzes",2020,"Individuals’ opportunities for action in threatening social contexts largely depend on their social power. While powerful individuals can afford to confront aggressors and dangers, powerless individuals need others’ support and better avoid direct challenges. Here, we investigated if adopting expansive or contracted postures, which function as social signals of power, impacts individuals’ approach and avoidance decisions in response to social threat signals using a within-subject design. Overall, participants more often chose to avoid rather than to approach angry individuals, but showed no clear approach or avoidance preference for fearful individuals. Crucially, contracted postures considerably increased the tendency to avoid angry individuals, whereas expansive postures induced no substantial changes. This suggests that adopting power-related postures may impact action decisions in response to social threat signals. The present results emphasize the social function of power postures, but should be replicated before drawing strong conclusions."
Power vs. persuasion: can open body postures embody openness to persuasion?,"Ioana M. Latu, Sean Duffy, Vaani Pardal, M. Alger",2017,"In the current study, we sought to replicate the finding that adopting an open/expansive body posture increases subjective feelings of power, while also investigating how these body postures influence the processing of persuasive messages. Two hundred participants were randomly assigned to adopt either an open or a closed body posture while reading either a strong or a weak persuasive message regarding junk food taxation. Afterwards, we measured participants� attitudes toward junk food, subjective feelings of power, thought confidence, and openness. Results failed to replicate the previously found effect of body posture on subjective feelings of power. Compared to weak messages, strong messages led to more persuasion, higher subjective power, more thought confidence, and more openness. However, body posture did not affect these outcomes. Overall, these findings challenge the idea of a direct, causal relationship between open body postures and power, by showing that power posing effects are not maintained under certain conditions."
Preparatory power posing affects nonverbal presence and job interview performance.,"Amy J. C. Cuddy, C. A. Wilmuth, Andy J. Yap, D. Carney",2015,"The authors tested whether engaging in expansive (vs. contractive) ""power poses"" before a stressful job interview--preparatory power posing--would enhance performance during the interview. Participants adopted high-power (i.e., expansive, open) poses or low-power (i.e., contractive, closed) poses, and then prepared and delivered a speech to 2 evaluators as part of a mock job interview. All interview speeches were videotaped and coded for overall performance and hireability and for 2 potential mediators: verbal content (e.g., structure, content) and nonverbal presence (e.g., captivating, enthusiastic). As predicted, those who prepared for the job interview with high- (vs. low-) power poses performed better and were more likely to be chosen for hire; this relation was mediated by nonverbal presence, but not by verbal content. Although previous research has focused on how a nonverbal behavior that is enacted during interactions and observed by perceivers affects how those perceivers evaluate and respond to the actor, this experiment focused on how a nonverbal behavior that is enacted before the interaction and unobserved by perceivers affects the actor's performance, which, in turn, affects how perceivers evaluate and respond to the actor. This experiment reveals a theoretically novel and practically informative result that demonstrates the causal relation between preparatory nonverbal behavior and subsequent performance and outcomes."
Real and imagined power poses: is the physical experience necessary after all?,"Dario Bombari, M. S. Mast, Caroline Pulfrey",2017,"Previous research investigated the effects of power poses at the behavioral, subjective, and neuroendocrine level. However, it is not clear whether the same effects would be obtained also by just imagining, rather than adopting, a power pose. We planned to investigate this question by asking 200 participants to either perform or imagine a constrictive or an expansive body posture during 2 min and then measure the effect on a gambling decision task and on felt power. We followed a sequential analysis procedure by running the first 100 participants in the performed posture condition in order to check the presence of the power posing effect. Because no effect of power poses on gambling decision or on felt power was found, we ran the remaining 100 participants also in the performed instead of the imagined condition. The results after running 200 participants confirmed that power poses did not affect gambling decision. However, participants felt more powerful after adopting an expansive pose compared to a constrictive pose. Exploratory analyses found that this effect was mainly driven by male participants. In addition, participants rated themselves as being more able to adopt the expansive body posture and they reported to put more effort in adopting the restrictive body posture. Overall, our results indicate that the effect of power poses on behavior might not be as widespread as previously thought of and suggest that moderators should be investigated carefully in future research."
Repeatedly adopting power postures does not affect hormonal correlates of dominance and affiliative behavior,"Hannah Metzler, Julie Grèzes",2019,"Background Adopting expansive vs. constrictive postures related to high vs. low levels of social power has been suggested to induce changes in testosterone and cortisol levels, and thereby to mimic hormonal correlates of dominance behavior. However, these findings have been challenged by several non-replications recently. Despite this growing body of evidence that does not support posture effects on hormone levels, the question remains as to whether repeatedly holding postures over time and/or assessing hormonal responses at different time points would yield different outcomes. The current study assesses these methodological characteristics as possible reasons for previous null-findings. Additionally, it investigates for the first time whether expansive and constrictive postures impact progesterone levels, a suggested correlate of affiliative motives and behavior. By testing the effects of repeated but short posture manipulations in between the blocks of a social task while using a cover story, it further fulfills the conditions previously raised as potentially necessary for the effects to occur. Methods A total of 82 male participants repeatedly adopted an expansive or constrictive posture for 2 min in between blocks of a task that consisted in categorizing faces based on first impressions. Saliva samples were taken at two different time points in a time window in which hormonal responses to stress, competition and other manipulations are known to be strongest. Results Neither testosterone and cortisol levels linked to dominance behaviors, nor progesterone levels related to affiliative tendencies, responded differently to adopting expansive as opposed to constrictive postures. The present results suggest that even repeated power posing in a context where social stimuli are task-relevant does not elicit changes in hormone levels."
Review and Summary of Research on the Embodied Effects of Expansive (vs. Contractive) Nonverbal Displays,"D. Carney, Amy J. C. Cuddy, Andy J. Yap",2015,"In 2010, we published an article in which two experiments demonstrated that expansive (vs. contractive) nonverbal displays produced subjective feelings of power and increased risk tolerance (Carney, Cuddy, & Yap, 2010). One of these experiments demonstrated that such displays increased subjective feelings of power, risk tolerance, and testosterone, and decreased cortisol. Our two experiments were the eighth and ninth to be reported in the literature on the embodied effects of nonverbal expansiveness—seven experiments on this topic were published prior to 2010. Since our article in 2010, 24 additional experiments on the effects of expansive postures have been published (see Table 1). Embodiment and the long-standing discussion of mind-body connection has its experimental roots in William James’s (1890/1950) theories of emotion and ideomotor action. Since then, many studies have demonstrated the bidirectional link between nonverbal behavior and human thought and feeling (see Laird & Lacasse, 2014). One such study was conducted by Ranehill et al. (2015), who reported a conceptual replication of one of our experiments: They found an effect of expansive posture on subjective feelings of power, but no effect of posture on risk tolerance, testosterone, or cortisol. We offer four comments that we hope elucidate the similarities and differences among the 33 published experiments (harvested from the literature through extensive keyword searches and cross-referencing of published articles) and the newly published research of Ranehill et al. We also highlight the specific differences between our experiment and that of Ranehill et al. Unpublished findings were excluded in Table 1. Ranehill et al.’s commentary, with the review presented here, serves as an excellent springboard for identifying potential moderators of the psychological effects of nonverbally expansive (vs. contractive) posture. Thirty-Three Published Results on Expansive Posture"
"Stand tall, but don't put your feet up: Universal and culturally-specific effects of expansive postures on power","Lora E. Park, Lindsey Streamer, Li Huang, Adam D. Galinsky",2013,"Previous research suggests that there is a fundamental link between expansive body postures and feelings of power. The current research demonstrates that this link is not universal, but depends on people's cultural background (Western versus East Asian) and on the particular type of expansive posture enacted. Three types of expansive postures were examined in the present studies: the expansive-hands-spread-on-desk pose ( Carney et al., 2010 ), the expansive-upright-sitting pose ( Huang et al., 2011 ,  Tiedens and Fragale, 2003 ), and the expansive-feet-on-desk pose ( Carney et al., 2010 ). Of these postures, the expansive-feet-on-desk pose was perceived by both Americans and East Asians as the least consistent with East Asian cultural norms of modesty, humility, and restraint (Study 1). The expansive-hands-spread-on-desk and expansive-upright-sitting postures led to greater sense of power than a constricted posture for both Americans and East Asians (Studies 2a–2b). In contrast, the expansive-feet-on-desk pose led to greater power activation (Study 3) and action orientation (Study 4) for Americans, but not for East Asians. Indeed, East Asians in the expansive-feet-on-desk pose showed less power activation and action orientation than Americans in this pose. Together, these findings support a basic principle of embodiment — the effects of posture depend on: (a) the type of posture, and (b) the symbolic meaning of that posture."
The effects of walking posture on affective and physiological states during stress.,"Jessie Hackford, Anna H. Mackey, Elizabeth Broadbent",2019,"Abstract   Background and objectives  Embodiment theory proposes that motor processes are associated with emotions and cognitions. Previous research has shown that walking posture can influence affective memory bias. This study further investigated this theory by looking at the effects of an upright versus slumped walking posture on psychological and physiological states when faced with a psychological stressor.    Methods  Seventy-three healthy adults completed baseline self-report measures of affect, power, and sleepiness, and physiological measures of blood pressure, galvanic skin response, and skin temperature. After walking in their usual posture, the same self-report and physiological measures were obtained. Participants were then randomly allocated into one of two groups where they were asked to walk in either an upright posture or a slumped posture. While walking, participants underwent a psychological stressor. After experimental walking, the same self-report and physiological measures were obtained.    Results  The upright walking posture group showed significantly improved psychological states including less low arousal negative affect, less sleepiness, less pain and marginally greater feelings of power than the slumped walking posture group. Physiologically, the upright walking posture group showed significantly lower systolic blood pressure, galvanic skin response, and marginally lower skin temperature than the slumped walking posture group.    Limitations  This was a short-term laboratory-based experiment and results may not generalise to other situations.    Conclusions  Walking posture can affect both psychological and physiological states. Applications of these findings may have implications for improving mental and physiological health."
The Embodiment of Power and Visual Dominance Behaviour,"Jure Jamnik, G. Žvelc",2017,"The objective of this study was to identify whether the changes in assuming power poses during a conversation between a pair of individuals, who were previously familiar with each other, influence the hierarchy of power, changes in it, as well as maintenance and adoption of different roles in the hierarchy. We assumed changes in roles of power on the basis of changes in visual dominance behaviour, which proved to be a reliable indicator of the social power of the individual in previous researches. Each pair conversed on predefined topics three times for three minutes. By placing individuals in a neutral or expansive posture, the purpose of which was covered by the use of a cover story, we created a difference in nonverbal expression of power between the two individuals. In the first conversation, both individuals adopted a neutral pose. In the second conversation, one individual adopted an expansive posture, while the other remained in a neutral one, and vice versa in the third conversation. Interactions were filmed with two cameras, which enabled us to analyse nonverbal behaviour. The results show that the differences in displays of power with expansive body postures between individuals are not associated with changes in visual dominance behaviour of individuals. From this we conclude that in the relations in which the social hierarchy of power is already established, the use of power poses does not help increase the power of the individual who adopts the posture."
The impact of power posing on self-efficacy and dispositional optimism in horse-assisted coaching,"Sophia Brämig, Kathrin Schütz, Sophia Brämig, Kathrin Schütz",2022,"Although both power posing and equine-assisted coaching have received growing attention in recent years and accordingly attract more research, intensive scientific debate is still young. This study investigates the impact of power posing and inner images in terms of imagination on self-efficacy in the setting of horse-assisted coaching using a quasi-experimental test design with repeated measures. Participants (N = 149), aged between 16 and 78 years (M = 29.38, SD = 13.12, 80% female), belonged either to the intervention group (N = 62) or the control group (N = 87). Intervention group subjects received a horse-assisted coaching with power posing exercises. Self-efficacy was measured two times by using the Generalized Self-Efficacy Scale and dispositional optimism was assessed using the revised version of the Life Orientation Test. Results show a highly significant increase in self-efficacy and dispositional optimism through a horse-assisted coaching with power posing exercises. The change in the self-efficacy represents a strong effect. Gender and horse experience of the subjects (intervention group) did not significantly influence the change of the selfefficacy between the measuring points. Long-term effects and the different factors of action in equine-assisted coaching, which has hardly been researched so far, as well as gender- and age-specific differences should be examined more closely in follow-up studies."
The influence of bodily actions on social perception and behaviour : assessing effects of power postures,Hannah Metzler,2018,"Les  corporelles signalant domination ou soumission servent une fonction de communication chez les humains et d’autres animaux. La question de savoir si l'adoption de telles postures de  influence la perception et le comportement de l'agent fait actuellement l'objet d'un debat. Le travail realise pendant cette these consistait a explorer les effets de ces  sur des comportements etroitement lies a leur fonction primaire, a savoir la communication sociale, en se focalisant sur les reponses aux visages, signaux sociaux particulierement saillants. Dans une serie d'experiences, j'ai utilise des methodes de correlation inverse pour visualiser les representations mentales de traits preferes du visage. Les representations mentales des visages preferes implicitement et explicitement evoquaient une impression affiliative et legerement dominante, mais ne revelaient aucun effet reproductible des postures. Deux autres experiences distinctes ont etudie les effets de la posture sur la perception d’expressions faciales menacantes et sur les comportements d'approche ou d'evitement en reponse a ces signaux. Bien que les  n'aient pas d’influence sur la reconnaissance explicite d’expressions faciales menacantes, elles ont un impact sur les decisions d'approcher ou d'eviter des signaux de menace. Plus precisement, l'adoption d'une posture de soumission augmentait la tendance a eviter les personnes exprimant la colere. Enfin, une tentative de replication des effets des  sur les niveaux de testosterone et de cortisol a demontre que meme l'adoption repetee d'une posture de pouvoir en contexte social ne provoque pas de changements hormonaux. Dans l'ensemble, ces resultats suggerent que notre posture corporelle n’influence pas nos representations mentales et notre perception des autres individus, mais pourrait influencer nos actions en reponse aux signaux sociaux."
The influence of power posing on cardiac vagal activity.,"Sylvain Laborde, Nils Strack, Emma Mosley",2019,"The effects of power posing on hormonal reactions such as testosterone and cortisol have been widely investigated, however, its effects on the autonomic nervous system are rather unknown. Consequently, the aim of this study was to investigate the influence of power posing on cardiac vagal activity (CVA), as indexed by heart rate variability. It was hypothesized that high power poses (HPP) would increase CVA, whereas low power poses (LPP) would decrease CVA, given power posing is expected to decrease stress. Participants (N = 56) performed a total of four power poses, a combination of two power conditions (high vs. low) and two body positions (sitting vs. standing) for 1 min each, in a randomized order. In addition, for each power pose participants were given a role description. Contrary to our hypothesis, CVA decreased significantly during HPP in comparison to the resting measures before and after HPP, and CVA did not change during LPP. Moreover, while holding the power pose, CVA was higher in the LPP than in the HPP condition. Regarding subjective measures our hypotheses were confirmed, felt power was significantly higher after HPP than after LPP. Additionally, perceived stress was higher after LPP than after HPP. Taken together, these results suggest that the immediate impact of PP on the autonomic nervous system is more likely to influence a higher state of activation within the body instead of increasing resources to cope with stress as indexed by CVA, which may be seen only on a more long-term basis."
The Role of Activation in the Relationship between Power Posing and Task Performance,J. Marshall,2020,"This research analyzed the psychophysiological effects that expansive and contractive body poses have on the human body. Participants were asked to hold either an expansive or contractive body pose for two minutes prior to participating in a Color-Word Interference Test (CWT, which induced stress) and a gambling task (which measured risk tolerance). Heart rate variability (HRV) and electrodermal activity (EDA) for each participant was measured to gauge stress throughout the experiment. Positive and negative affect scales were used to measure mood before and after posing. Results of this research did not support our hypotheses, which were: 1. Expansive, dominant poses would cause an increase in performance on the stressful task, a decrease in both psychological and psychophysiological stress response, and an increase in risk tolerance and 2. Contractive, submissive poses would yield the opposite effect. This research was unable to find a connection between posture, risk tolerance, and feelings of improved mood."
To Strike a Pose: No Stereotype Backlash for Power Posing Women,"Miriam Rennung, Johannes Blum, A. Göritz",2016,"Power posing, the adoption of open and powerful postures, has effects that parallel those of actual social power. This study explored the social evaluation of adopting powerful vs. powerless body postures in men and women regarding perceived warmth, competence, and the likelihood of eliciting admiration, envy, pity, and contempt. Previous findings suggest that the display of power by women may have side effects due to gender stereotyping, namely reduced warmth ratings and negative emotional reactions. An experiment (N = 2,473) asked participants to rate pictures of men and women who adopted high-power or low-power body postures. High-power posers were rated higher on competence, admiration, envy, and contempt compared to low-power posers, whereas the opposite was true for pity. There was no impact of power posing on perceived warmth. Contrary to expectations, the poser’s gender did not moderate any of the effects. These findings suggest that non-verbal displays of power do influence fundamental dimensions of social perception and their accompanying emotional reactions but result in comparably positive and negative evaluations for both genders."
Using bodily displays to facilitating approach action outcomes within the context of a personally relevant task,"Emma Elkjær, Mai Bjørnskov Mikkelsen, Gitte Tramm, Johannes Michalak, Douglas S Mennin, Mia Skytte O'Toole, Emma Elkjær, Mai Bjørnskov Mikkelsen, Gitte Tramm, Johannes Michalak, Douglas S Mennin, Mia Skytte O'Toole",2022,"Considerable attention has been paid to the effect of bodily (expansive and contractive) displays on affective, behavioral, and hormonal outcomes. However, the majority of past studies are limited by a lack of control groups with neutral displays and low personal relevance of the experimental tasks employed. The present study aimed to investigate the effect of adopting different bodily displays, including neutral displays, within the context of a personally relevant task.In an experiment with healthy participants (N = 90), we investigated the effects of two different bodily manipulations (i.e., expansive and contractive), compared to a control group (i.e., neutral displays). Effects were evaluated in terms of completed valued action in addition to processes considered potentially helpful in preparing and motivating the individual to take valued action, including a change in emotion experience, action tendencies, and appraisals.Several main effects were detected and only few significant interaction effects were revealed. In case of group differences, results showed that expansive bodily displays outperformed the control group, leading to more positive emotions, more approach action tendencies, less negative emotion variability, and less avoidance action tendencies toward threat.These results mainly suggest that identifying a valued action and explicating the underlying motivational conflict may be beneficial regardless of bodily displays. This conclusion runs somewhat counter both to our hypotheses and to findings in recent meta-analytic work. However, previous experiments have not evaluated the effect of bodily displays within a personally relevant context."
Using bodily postures in the treatment of anorexia nervosa: Effects of power posing on interoception and affective states.,"Felicitas Weineck, Gernot Hauke, Hanna Lindemann, Karin Lachenmeir, Andreas Schnebel, Matislava Karacic, Adrian Meule, Ulrich Voderholzer, Olga Pollatos",2021,"Objective  Power posing involves the adoption of an expansive bodily posture. This study examined whether power posing could benefit individuals with anorexia nervosa (AN) and women with normal weight in regards to interoceptive ability and affective states.  Method  Participants included 50 inpatients and outpatients with AN as well as 51 normal-weight women. Interoceptive accuracy (IAcc), measured by the heartbeat tracking task and interoceptive sensibility (IS), measured by confidence ratings, were assessed at baseline, after a single power posing session and after 1 week of daily training. Also, the short-term effects of power posing on subjective feelings of dominance, pleasantness, and arousal were investigated.  Results  Both groups increased in their IAcc after one power posing session. Also, there was a significant main effect of time on feelings of dominance and pleasantness in the short-term. Women with AN displayed lower levels of IS, dominance, and pleasantness as well as higher levels of arousal than women without AN.  Discussion  These findings suggest that power posing has the potential to increase IAcc, subjective feelings of power and pleasant affect in the short-term. Further research should investigate which mechanisms foster the effectiveness of this intervention to tailor it to the needs of women with AN."
Using bodily postures to reduce anxiety and improve interoception: A comparison between powerful and neutral poses,"Felicitas Weineck, Dana Schultchen, G. Hauke, M. Messner, O. Pollatos",2020,"Background Previous research has shown that anxiety syndromes are highly prevalent among university students. Effective treatments are needed to reduce the burden of anxiety in this population. Powerful postures have been found to impact affective states, as well as interoception (i.e. the ability to perceive inner bodily signals). However, no previous study has compared the effects of powerful- and neutral postures in regards to anxiety and interoceptive ability. Methods The first part of the study measured the single-session effect of adopting powerful- vs. neutral postures on students' (n = 57) interoceptive ability and state anxiety. The second part of the study measured the effect of adopting powerful or neutral postures twice daily for two weeks, on individuals' interoceptive ability and trait anxiety. Results State anxiety decreased in both conditions whereas interoceptive accuracy only increased in the power posing condition after a single session. Interoceptive accuracy increased in both groups after two weeks of training. Limitations The study included no comparison to a condition where individuals adopted their natural (i.e. usual) bodily posture. Conclusions Embodiment interventions that include elements of adopting an open or expansive bodily posture whilst maintaining a self-focus, can help to reduce state anxiety and improve interoceptive accuracy in student populations. Power posing does not seem to be superior to holding a neutral posture to improve interoceptive accuracy or anxiety. One reason therefore could be that both conditions include the manipulation of self-focus and a postural change that diverges from individuals' normal posture."
"Winners, losers, and posers: The effect of power poses on testosterone and risk-taking following competition.","Kristopher M. Smith, Coren L. Apicella",2017,"A contribution to a special issue on Hormones and Human Competition.  The effect of postural power displays (i.e. power poses) on hormone levels and decision-making has recently been challenged. While Carney et al. (2010) found that holding brief postural displays of power leads to increased testosterone, decreased cortisol and greater economic risk taking, this failed to replicate in a recent high-powered study (Ranehill et al. 2015). It has been put forward that subtle differences in social context may account for the differences in results. Power displays naturally occur within the context of competitions, as do changes in hormones, and researchers have yet to examine the effects of poses within this ecologically relevant context. Using a large sample of 247 male participants, natural winners and losers of a physical competition were randomly assigned to hold a low, neutral or high-power postural display. We found no main effect of pose type on testosterone, cortisol, risk or feelings of power. Winners assigned to a high-power pose had a relative, albeit small, rise in testosterone compared to winners who held neutral or low-power poses. For losers, we found little evidence that high-power poses lead to increased testosterone relative to those holding neutral or low-powered poses. If anything, the reverse was observed – losers had a reduction in testosterone after holding high-power poses. To the extent that changes in testosterone modulate social behaviors adaptively, it is possible that the relative reduction in testosterone observed in losers taking high-powered poses is designed to inhibit further “winner-like” behavior that could result in continued defeat and harm. Still, effects were small, multiple comparisons were made, and the results ran counter to our predictions. We thus treat these conclusions as preliminary."
With great power comes great responsibility: Superhero primes and expansive poses influence prosocial behavior after a motion-controlled game task,"Jorge E. Peña, Meng Chen",2017,"This study examined how priming social concepts and manipulating physical poses when playing a motion-sensing flight game affected ensuing prosocial behaviors. After the experimenter “accidentally” dropped pencils, participants primed with superheroes were faster at helping compared with a control condition. Participants who controlled the game while standing and holding expansive poses helped more compared with those in the expansive pose/sitting condition. Sitting participants primed with supervillains showed decreased prosocial intention. The study expanded on previous research and addressed possible confounds by providing evidence of how social primes and physical poses affect prosocial behavior after a virtual flight task. The paper discusses theoretical implications and future directions for research interested in cognitive processes and physical mechanics in virtual experiences."
Yoga Poses Increase Subjective Energy and State Self-Esteem in Comparison to ‘Power Poses’,"Agnieszka Golec de Zavala, Dorottya Lantos, D. Bowden",2017,"Research on beneficial consequences of yoga focuses on the effects of yogic breathing and meditation. Less is known about the psychological effects of performing yoga postures. The present study investigated the effects of yoga poses on subjective sense of energy and self-esteem. The effects of yoga postures were compared to the effects of ‘power poses,’ which arguably increase the sense of power and self-confidence due to their association with interpersonal dominance (Carney et al., 2010). The study tested the novel prediction that yoga poses, which are not associated with interpersonal dominance but increase bodily energy, would increase the subjective feeling of energy and therefore increase self-esteem compared to ‘high power’ and ‘low power’ poses. A two factorial, between participants design was employed. Participants performed either two standing yoga poses with open front of the body (n = 19), two standing yoga poses with covered front of the body (n = 22), two expansive, high power poses (n = 21), or two constrictive, low power poses (n = 20) for 1-min each. The results showed that yoga poses in comparison to ‘power poses’ increased self-esteem. This effect was mediated by an increased subjective sense of energy and was observed when baseline trait self-esteem was controlled for. These results suggest that the effects of performing open, expansive body postures may be driven by processes other than the poses’ association with interpersonal power and dominance. This study demonstrates that positive effects of yoga practice can occur after performing yoga poses for only 2 min."
Embodying Power: A Preregistered Replication and Extension of the Power Pose Effect,"Garrison, K. E., Tang, D., & Schmeichel, B. J.",2016,Embodying Power: A Preregistered Replication and Extension of the Power Pose Effect
The Benefit of Power Posing Before a High-Stakes Social Evaluation,,2012,"The current experiment tested whether changing one�s nonverbal behavior prior to a high-stakes social evaluation could improve performance in the evaluated task. Participants adopted expansive, open (high-power) poses, or contractive, closed (low-power) poses, and then prepared and delivered a speech to two evaluators as part of a mock job interview, a prototypical social evaluation. All speeches were videotaped and coded for overall performance and hireability, and the potential mediators of speech quality (e.g., content, structure) and presentation quality (e.g., captivating, confident). As predicted, high power posers performed better and were more likely to be chosen for hire, and this relationship was mediated only by presentation quality, not speech quality. Power pose condition had no effect on body posture during the social evaluation, thus highlighting the relationship between preparatory nonverbal behavior and subsequent performance."
Assessing the Robustness of Power Posing: No Effect on Hormones and Risk Tolerance in a Large Sample of Men and Women,"Eva Ranehill, Anna Dreber, Magnus Johannesson, Susanne Leiberg, Sunhae Sul, Roberto A. Weber,",2015,"In a growing body of research, psychologists have studied how physical expression influences psychological processes (see�Riskind & Gotay, 1982;�Stepper & Strack, 1993, for early contributions to this literature). A recent strand of literature within this field has focused on how physical postures that express power and dominance (power poses) influence psychological and physiological processes, as well as decision making (e.g.,�Carney, Cuddy, & Yap, 2010;�Cesario & McDonald, 2013;�Yap, Wazlawek, Lucas, Cuddy, & Carney, 2013). Carney et al. found that power posing affected levels of hormones such as testosterone and cortisol, financial risk taking, and self-reported feelings of power in a sample of 42 participants (randomly assigned to hold poses suggesting either high or low power). We conducted a conceptual replication study with a similar methodology as that employed by Carney et al. but using a substantially larger sample (N�= 200) and a design in which the experimenter was blind to condition. Our statistical power to detect an effect of the magnitude reported by Carney et al. was more than 95% (see the Supplemental Material available online). In addition to the three outcome measures that Carney et al. used, we also studied two more behavioral tasks (risk taking in the loss domain and willingness to compete)."
A Bayesian model-averaged meta-analysis of the power pose effect with informed and default priors: the case of felt power,"Gronau, Quentin F.; Van Erp, Sara; Heck, Daniel W.; Cesario, Joseph; Jonas, Kai J.; Wagenmakers, Eric-Jan",2017,"Consistent with the findings of Carney et al., our results showed a significant effect of power posing on self-reported feelings of power. However, we found no significant effect of power posing on hormonal levels or in any of the three behavioral tasks."
